Linux 6.17.0-35-generic (ubuntu-VirtualBox) 	07/09/2026 	_x86_64_	(2 CPU)

01:01:43 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:01:44 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:45 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:46 AM   128      6576    0.00    1.00    0.00    2.00    1.00     1  ospfd
01:01:47 AM   128      6576    0.00    0.00    0.00    1.98    0.00     1  ospfd
01:01:48 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:49 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:50 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:51 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:52 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:01:53 AM   128      6576    0.00    1.00    0.00    1.00    1.00     0  ospfd
01:01:54 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:55 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:56 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:01:57 AM   128      6576    0.00    1.00    0.00    1.00    1.00     0  ospfd
01:01:58 AM   128      6576    0.00    0.00    0.00    0.99    0.00     0  ospfd
01:01:59 AM   128      6576    1.00    0.00    0.00    0.00    1.00     0  ospfd
01:02:00 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:01 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:02 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:03 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:02:04 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:02:05 AM   128      6576    0.00    0.00    0.00    0.00    0.00     1  ospfd
01:02:06 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:07 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:08 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:09 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:10 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:11 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
01:02:12 AM   128      6576    0.00    0.00    0.00    1.00    0.00     0  ospfd
01:02:13 AM   128      6576    0.00    0.00    0.00    0.00    0.00     0  ospfd
Average:      128      6576    0.03    0.10    0.00    0.27    0.13     -  ospfd
