Linux 6.17.0-35-generic (ubuntu-VirtualBox) 	07/09/2026 	_x86_64_	(2 CPU)

12:47:08 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:47:09 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:10 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:11 AM   128      6532    0.00    0.00    0.00    1.00    0.00     0  ospfd
12:47:12 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:13 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:14 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:15 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:16 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:17 AM   128      6532    0.00    1.00    0.00    0.00    1.00     0  ospfd
12:47:18 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:19 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:20 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:21 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:22 AM   128      6532    0.00    0.00    0.00    0.00    0.00     0  ospfd
12:47:23 AM   128      6532    0.00    1.00    0.00    2.00    1.00     1  ospfd
12:47:24 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:25 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:26 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:27 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:28 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:29 AM   128      6532    0.00    0.00    0.00    1.00    0.00     1  ospfd
12:47:30 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:31 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:32 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:33 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:34 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:35 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:36 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:37 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
12:47:38 AM   128      6532    0.00    0.00    0.00    0.00    0.00     1  ospfd
Average:      128      6532    0.00    0.07    0.00    0.13    0.07     -  ospfd
